SampleID	Project	Model	Treatment	Stool	Time	Mouse_Fecal	Mouse Strain	PCoA	Order
CDC2PlateM5G02	CDC2	Mice	Ceftriaxone	FS04	B	B46	C57	N	NA
CDC2PlateM6F05	CDC2	Mice	Ceftriaxone	FS04	B	H46	C3H	N	NA
CDC2PlateM6F06	CDC2	Mice	Ceftriaxone	FS04	B	H46	C3H	N	NA
CDC2PlateM6F07	CDC2	Mice	Ceftriaxone	FS04	B	H46	C3H	N	NA
CDC2PlateM6F08	CDC2	Mice	Ceftriaxone	FS04	B	H46	C3H	N	NA
CDC2PlateM6F09	CDC2	Mice	Ceftriaxone	FS04	B	H46	C3H	N	NA
CDC2PlateM6F10	CDC2	Mice	Ceftriaxone	FS04	B	H46	C3H	N	NA
CDC2PlateM8F10	CDC2	Mice	Ceftriaxone	FS04	B	S46	SW	N	NA
CDC2PlateM8F11	CDC2	Mice	Ceftriaxone	FS04	B	S46	SW	N	NA
CDC2PlateM8F12	CDC2	Mice	Ceftriaxone	FS04	B	S46	SW	N	NA
CDC2PlateM11E02	CDC2	Mice	Ceftriaxone	FS04	B	S46	SW	N	NA
CDC2PlateM11E03	CDC2	Mice	Ceftriaxone	FS04	B	S46	SW	N	NA
CDC2PlateM11E04	CDC2	Mice	Ceftriaxone	FS04	B	S46	SW	N	NA
CDC2PlateM11E05	CDC2	Mice	Ceftriaxone	FS04	B	S46	SW	N	NA
CDC2PlateM11E06	CDC2	Mice	Ceftriaxone	FS04	B	S46	SW	N	NA
CDC2PlateM4F02	CDC2	Mice	Ceftriaxone	FS04	B	B46	C57	N	NA
CDC2PlateM4F03	CDC2	Mice	Ceftriaxone	FS04	B	B46	C57	N	NA
CDC2PlateM5E03	CDC2	Mice	Ceftriaxone	FS04	B	B46	C57	N	NA
CDC2PlateM5E04	CDC2	Mice	Ceftriaxone	FS04	B	B46	C57	N	NA
CDC2PlateM5E05	CDC2	Mice	Ceftriaxone	FS04	B	B46	C57	N	NA
CDC2PlateM6C11	CDC2	Mice	Ceftriaxone	FS04	B	H46	C3H	N	NA
CDC2PlateM6C12	CDC2	Mice	Ceftriaxone	FS04	B	H46	C3H	N	NA
CDC2PlateM6D02	CDC2	Mice	Ceftriaxone	FS04	B	H46	C3H	N	NA
CDC2PlateM6D03	CDC2	Mice	Ceftriaxone	FS04	B	H46	C3H	N	NA
CDC2PlateM6D04	CDC2	Mice	Ceftriaxone	FS04	B	H46	C3H	N	NA
CDC2Plate17M12F06	CDC2	Mice	Ceftriaxone	FS04	C	S46	SW	N	NA
CDC2Plate17M12F07	CDC2	Mice	Ceftriaxone	FS04	C	S46	SW	N	NA
CDC2Plate17M12F08	CDC2	Mice	Ceftriaxone	FS04	C	S46	SW	N	NA
CDC2Plate17M12F09	CDC2	Mice	Ceftriaxone	FS04	C	S46	SW	N	NA
CDC2Plate17M12F10	CDC2	Mice	Ceftriaxone	FS04	C	S46	SW	N	NA
CDC2PlateM4H08	CDC2	Mice	Ceftriaxone	FS04	C	B46	C57	N	NA
CDC2PlateM4H09	CDC2	Mice	Ceftriaxone	FS04	C	B46	C57	N	NA
CDC2PlateM5G09	CDC2	Mice	Ceftriaxone	FS04	C	B46	C57	N	NA
CDC2PlateM5G10	CDC2	Mice	Ceftriaxone	FS04	C	B46	C57	N	NA
CDC2PlateM5G11	CDC2	Mice	Ceftriaxone	FS04	C	B46	C57	N	NA
CDC2PlateM7A01	CDC2	Mice	Ceftriaxone	FS04	C	H46	C3H	N	NA
CDC2PlateM7A02	CDC2	Mice	Ceftriaxone	FS04	C	H46	C3H	N	NA
CDC2PlateM7A04	CDC2	Mice	Ceftriaxone	FS04	C	H46	C3H	N	NA
CDC2PlateM7A05	CDC2	Mice	Ceftriaxone	FS04	C	H46	C3H	N	NA
CDC2PlateM7A06	CDC2	Mice	Ceftriaxone	FS04	C	H46	C3H	N	NA
CDC2Plate17M12H06	CDC2	Mice	Ceftriaxone	FS04	D	S46	SW	N	NA
CDC2Plate17M12H07	CDC2	Mice	Ceftriaxone	FS04	D	S46	SW	N	NA
CDC2PlateM6A05	CDC2	Mice	Ceftriaxone	FS04	D	B46	C57	N	NA
CDC2PlateM6A06	CDC2	Mice	Ceftriaxone	FS04	D	B46	C57	N	NA
CDC2PlateM6A07	CDC2	Mice	Ceftriaxone	FS04	D	B46	C57	N	NA
CDC2PlateM6A08	CDC2	Mice	Ceftriaxone	FS04	D	B46	C57	N	NA
CDC2PlateM6A09	CDC2	Mice	Ceftriaxone	FS04	D	B46	C57	N	NA
CDC2PlateM6A10	CDC2	Mice	Ceftriaxone	FS04	D	B46	C57	N	NA
CDC2PlateM7C07	CDC2	Mice	Ceftriaxone	FS04	D	H46	C3H	N	NA
CDC2PlateM7C08	CDC2	Mice	Ceftriaxone	FS04	D	H46	C3H	N	NA
CDC2PlateM7C09	CDC2	Mice	Ceftriaxone	FS04	D	H46	C3H	N	NA
CDC2PlateM7C10	CDC2	Mice	Ceftriaxone	FS04	D	H46	C3H	N	NA
CDC2PlateM7C11	CDC2	Mice	Ceftriaxone	FS04	D	H46	C3H	N	NA
CDC2PlateM7C12	CDC2	Mice	Ceftriaxone	FS04	D	H46	C3H	N	NA
CDC2PlateM8G06	CDC2	Mice	Ceftriaxone	FS04	D	S46	SW	N	NA
CDC2PlateM8G07	CDC2	Mice	Ceftriaxone	FS04	D	S46	SW	N	NA
CDC2PlateM8G08	CDC2	Mice	Ceftriaxone	FS04	D	S46	SW	N	NA
CDC2Plate17M12B12	CDC2	Mice	Ceftriaxone	FS05	A	B39	C57	N	NA
CDC2Plate17M12C01	CDC2	Mice	Ceftriaxone	FS05	A	B39	C57	N	NA
CDC2Plate17M12C02	CDC2	Mice	Ceftriaxone	FS05	A	B39	C57	N	NA
CDC2Plate8G08	CDC2	Mice	Ceftriaxone	FS05	B	B39	C57	N	NA
CDC2Plate8G09	CDC2	Mice	Ceftriaxone	FS05	B	B39	C57	N	NA
CDC2Plate8G10	CDC2	Mice	Ceftriaxone	FS05	B	B39	C57	N	NA
CDC2PlateM1E10	CDC2	Mice	Ceftriaxone	FS05	B	S39	SW	N	NA
CDC2PlateM1E11	CDC2	Mice	Ceftriaxone	FS05	B	S39	SW	N	NA
CDC2PlateM1E12	CDC2	Mice	Ceftriaxone	FS05	B	S39	SW	N	NA
CDC2PlateM3B09	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM3B10	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM5B05	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM5B06	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM5B07	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM5B08	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM9D02	CDC2	Mice	Ceftriaxone	FS05	B	B39	C57	N	NA
CDC2PlateM9D03	CDC2	Mice	Ceftriaxone	FS05	B	B39	C57	N	NA
CDC2PlateM1C01	CDC2	Mice	Ceftriaxone	FS05	B	S39	SW	N	NA
CDC2PlateM1C02	CDC2	Mice	Ceftriaxone	FS05	B	S39	SW	N	NA
CDC2PlateM1C03	CDC2	Mice	Ceftriaxone	FS05	B	S39	SW	N	NA
CDC2PlateM1C04	CDC2	Mice	Ceftriaxone	FS05	B	S39	SW	N	NA
CDC2PlateM1C05	CDC2	Mice	Ceftriaxone	FS05	B	S39	SW	N	NA
CDC2PlateM1C06	CDC2	Mice	Ceftriaxone	FS05	B	S39	SW	N	NA
CDC2PlateM2E03	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM2E04	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM2E05	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM2E06	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM2E07	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM2E08	CDC2	Mice	Ceftriaxone	FS05	B	H39	C3H	N	NA
CDC2PlateM8D04	CDC2	Mice	Ceftriaxone	FS05	B	B39	C57	N	NA
CDC2PlateM8D05	CDC2	Mice	Ceftriaxone	FS05	B	B39	C57	N	NA
CDC2PlateM8D06	CDC2	Mice	Ceftriaxone	FS05	B	B39	C57	N	NA
CDC2PlateM9F04	CDC2	Mice	Ceftriaxone	FS05	B	B39	C57	N	NA
CDC2PlateM9F05	CDC2	Mice	Ceftriaxone	FS05	B	B39	C57	N	NA
CDC2PlateM9F06	CDC2	Mice	Ceftriaxone	FS05	B	B39	C57	N	NA
CDC2PlateM1H01	CDC2	Mice	Ceftriaxone	FS05	C	S39	SW	N	NA
CDC2PlateM1H02	CDC2	Mice	Ceftriaxone	FS05	C	S39	SW	N	NA
CDC2PlateM1H03	CDC2	Mice	Ceftriaxone	FS05	C	S39	SW	N	NA
CDC2PlateM1H04	CDC2	Mice	Ceftriaxone	FS05	C	S39	SW	N	NA
CDC2PlateM1H05	CDC2	Mice	Ceftriaxone	FS05	C	S39	SW	N	NA
CDC2PlateM1H06	CDC2	Mice	Ceftriaxone	FS05	C	S39	SW	N	NA
CDC2PlateM2H09	CDC2	Mice	Ceftriaxone	FS05	C	H39	C3H	N	NA
CDC2PlateM2H10	CDC2	Mice	Ceftriaxone	FS05	C	H39	C3H	N	NA
CDC2PlateM3A01	CDC2	Mice	Ceftriaxone	FS05	C	H39	C3H	N	NA
CDC2PlateM3A02	CDC2	Mice	Ceftriaxone	FS05	C	H39	C3H	N	NA
CDC2PlateM3A03	CDC2	Mice	Ceftriaxone	FS05	C	H39	C3H	N	NA
CDC2PlateM3A04	CDC2	Mice	Ceftriaxone	FS05	C	H39	C3H	N	NA
CDC2PlateM8E09	CDC2	Mice	Ceftriaxone	FS05	C	B39	C57	N	NA
CDC2PlateM8E10	CDC2	Mice	Ceftriaxone	FS05	C	B39	C57	N	NA
CDC2PlateM8E11	CDC2	Mice	Ceftriaxone	FS05	C	B39	C57	N	NA
CDC2PlateM9H05	CDC2	Mice	Ceftriaxone	FS05	C	B39	C57	N	NA
CDC2PlateM9H06	CDC2	Mice	Ceftriaxone	FS05	C	B39	C57	N	NA
CDC2PlateM9H07	CDC2	Mice	Ceftriaxone	FS05	C	B39	C57	N	NA
CDC2Plate8H08	CDC2	Mice	Ceftriaxone	FS05	D	B39	C57	N	NA
CDC2Plate8H09	CDC2	Mice	Ceftriaxone	FS05	D	B39	C57	N	NA
CDC2Plate8H10	CDC2	Mice	Ceftriaxone	FS05	D	B39	C57	N	NA
CDC2PlateM2B12	CDC2	Mice	Ceftriaxone	FS05	D	S39	SW	N	NA
CDC2PlateM2C01	CDC2	Mice	Ceftriaxone	FS05	D	S39	SW	N	NA
CDC2PlateM2C02	CDC2	Mice	Ceftriaxone	FS05	D	S39	SW	N	NA
CDC2PlateM3C03	CDC2	Mice	Ceftriaxone	FS05	D	H39	C3H	N	NA
CDC2PlateM3C04	CDC2	Mice	Ceftriaxone	FS05	D	H39	C3H	N	NA
CDC2PlateM5C05	CDC2	Mice	Ceftriaxone	FS05	D	H39	C3H	N	NA
CDC2PlateM5C06	CDC2	Mice	Ceftriaxone	FS05	D	H39	C3H	N	NA
CDC2PlateM5C08	CDC2	Mice	Ceftriaxone	FS05	D	H39	C3H	N	NA
CDC2PlateM9D10	CDC2	Mice	Ceftriaxone	FS05	D	B39	C57	N	NA
CDC2PlateM9D11	CDC2	Mice	Ceftriaxone	FS05	D	B39	C57	N	NA
CDC2Plate17M12A09	CDC2	Mice	Ceftriaxone	FS06	A	B38	C57	N	NA
CDC2Plate17M12A10	CDC2	Mice	Ceftriaxone	FS06	A	B38	C57	N	NA
CDC2Plate17M12A11	CDC2	Mice	Ceftriaxone	FS06	A	B38	C57	N	NA
CDC2Plate17M12A12	CDC2	Mice	Ceftriaxone	FS06	A	B38	C57	N	NA
CDC2Plate17M12D03	CDC2	Mice	Ceftriaxone	FS06	A	B38	C57	N	NA
CDC2Plate17M12D04	CDC2	Mice	Ceftriaxone	FS06	A	B38	C57	N	NA
CDC2Plate17M12D05	CDC2	Mice	Ceftriaxone	FS06	A	B38	C57	N	NA
CDC2PlateM10E08	CDC2	Mice	Ceftriaxone	FS06	B	B38	C57	N	NA
CDC2PlateM10E09	CDC2	Mice	Ceftriaxone	FS06	B	B38	C57	N	NA
CDC2PlateM10E10	CDC2	Mice	Ceftriaxone	FS06	B	B38	C57	N	NA
CDC2PlateM10E11	CDC2	Mice	Ceftriaxone	FS06	B	B38	C57	N	NA
CDC2PlateM10E12	CDC2	Mice	Ceftriaxone	FS06	B	B38	C57	N	NA
CDC2PlateM10F01	CDC2	Mice	Ceftriaxone	FS06	B	B38	C57	N	NA
CDC2PlateM3G05	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM3G06	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM3G07	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM3G08	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM3G09	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM3G10	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM8B05	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2PlateM8B06	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2PlateM8B07	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2PlateM8B08	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2PlateM9B03	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2PlateM9B04	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2Plate17M12H09	CDC2	Mice	Ceftriaxone	FS06	B	B38	C57	N	NA
CDC2PlateM10C05	CDC2	Mice	Ceftriaxone	FS06	B	B38	C57	N	NA
CDC2PlateM10C06	CDC2	Mice	Ceftriaxone	FS06	B	B38	C57	N	NA
CDC2PlateM10C07	CDC2	Mice	Ceftriaxone	FS06	B	B38	C57	N	NA
CDC2PlateM3E01	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM3E02	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM3E03	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM3E04	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM5D01	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM5D02	CDC2	Mice	Ceftriaxone	FS06	B	H38	C3H	N	NA
CDC2PlateM7E11	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2PlateM7E12	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2PlateM7F01	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2PlateM9A03	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2PlateM9A04	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2PlateM9A05	CDC2	Mice	Ceftriaxone	FS06	B	S38	SW	N	NA
CDC2Plate17M12H12	CDC2	Mice	Ceftriaxone	FS06	C	B38	C57	N	NA
CDC2PlateM10H02	CDC2	Mice	Ceftriaxone	FS06	C	B38	C57	N	NA
CDC2PlateM10H03	CDC2	Mice	Ceftriaxone	FS06	C	B38	C57	N	NA
CDC2PlateM10H04	CDC2	Mice	Ceftriaxone	FS06	C	B38	C57	N	NA
CDC2PlateM4A09	CDC2	Mice	Ceftriaxone	FS06	C	H38	C3H	N	NA
CDC2PlateM4A10	CDC2	Mice	Ceftriaxone	FS06	C	H38	C3H	N	NA
CDC2PlateM4A11	CDC2	Mice	Ceftriaxone	FS06	C	H38	C3H	N	NA
CDC2PlateM4A12	CDC2	Mice	Ceftriaxone	FS06	C	H38	C3H	N	NA
CDC2PlateM5D07	CDC2	Mice	Ceftriaxone	FS06	C	H38	C3H	N	NA
CDC2PlateM5D08	CDC2	Mice	Ceftriaxone	FS06	C	H38	C3H	N	NA
CDC2PlateM7H09	CDC2	Mice	Ceftriaxone	FS06	C	S38	SW	N	NA
CDC2PlateM7H10	CDC2	Mice	Ceftriaxone	FS06	C	S38	SW	N	NA
CDC2PlateM8A01	CDC2	Mice	Ceftriaxone	FS06	C	S38	SW	N	NA
CDC2PlateM9B07	CDC2	Mice	Ceftriaxone	FS06	C	S38	SW	N	NA
CDC2PlateM9B08	CDC2	Mice	Ceftriaxone	FS06	C	S38	SW	N	NA
CDC2PlateM9B09	CDC2	Mice	Ceftriaxone	FS06	C	S38	SW	N	NA
CDC2PlateM11B07	CDC2	Mice	Ceftriaxone	FS06	D	B38	C57	N	NA
CDC2PlateM11B08	CDC2	Mice	Ceftriaxone	FS06	D	B38	C57	N	NA
CDC2PlateM11B09	CDC2	Mice	Ceftriaxone	FS06	D	B38	C57	N	NA
CDC2PlateM11B10	CDC2	Mice	Ceftriaxone	FS06	D	B38	C57	N	NA
CDC2PlateM11B11	CDC2	Mice	Ceftriaxone	FS06	D	B38	C57	N	NA
CDC2PlateM11B12	CDC2	Mice	Ceftriaxone	FS06	D	B38	C57	N	NA
CDC2PlateM4D01	CDC2	Mice	Ceftriaxone	FS06	D	H38	C3H	N	NA
CDC2PlateM4D02	CDC2	Mice	Ceftriaxone	FS06	D	H38	C3H	N	NA
CDC2PlateM4D03	CDC2	Mice	Ceftriaxone	FS06	D	H38	C3H	N	NA
CDC2PlateM4D04	CDC2	Mice	Ceftriaxone	FS06	D	H38	C3H	N	NA
CDC2PlateM4D05	CDC2	Mice	Ceftriaxone	FS06	D	H38	C3H	N	NA
CDC2PlateM4D06	CDC2	Mice	Ceftriaxone	FS06	D	H38	C3H	N	NA
CDC2PlateM8C03	CDC2	Mice	Ceftriaxone	FS06	D	S38	SW	N	NA
CDC2PlateM8C04	CDC2	Mice	Ceftriaxone	FS06	D	S38	SW	N	NA
CDC2PlateM8C05	CDC2	Mice	Ceftriaxone	FS06	D	S38	SW	N	NA
CDC2PlateM8C06	CDC2	Mice	Ceftriaxone	FS06	D	S38	SW	N	NA
CDC2PlateM9C07	CDC2	Mice	Ceftriaxone	FS06	D	S38	SW	N	NA
CDC2PlateM9C08	CDC2	Mice	Ceftriaxone	FS06	D	S38	SW	N	NA
CDC2PlateM11F11	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM11F12	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM11G01	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM5F03	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM5F04	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM5F05	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM5F06	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM5F07	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM5F08	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM6E11	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2PlateM6E12	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2PlateM6F01	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2PlateM6F02	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2PlateM6F03	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2PlateM6F04	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2PlateM8F07	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM8F08	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM8F09	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM11D07	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM11D08	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM11D09	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM11D10	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM11D11	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM11D12	CDC2	Mice	Cefaclor	FS04	B	S46	SW	N	NA
CDC2PlateM4E08	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM4E09	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM4E11	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM4E12	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM4F01	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM4F10	CDC2	Mice	Cefaclor	FS04	B	B46	C57	N	NA
CDC2PlateM6C05	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2PlateM6C06	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2PlateM6C07	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2PlateM6C08	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2PlateM6C09	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2PlateM6C10	CDC2	Mice	Cefaclor	FS04	B	H46	C3H	N	NA
CDC2Plate17M12E11	CDC2	Mice	Cefaclor	FS04	C	S46	SW	N	NA
CDC2Plate17M12F01	CDC2	Mice	Cefaclor	FS04	C	S46	SW	N	NA
CDC2Plate17M12F02	CDC2	Mice	Cefaclor	FS04	C	S46	SW	N	NA
CDC2Plate17M12F03	CDC2	Mice	Cefaclor	FS04	C	S46	SW	N	NA
CDC2Plate17M12F04	CDC2	Mice	Cefaclor	FS04	C	S46	SW	N	NA
CDC2Plate17M12F05	CDC2	Mice	Cefaclor	FS04	C	S46	SW	N	NA
CDC2PlateM4H02	CDC2	Mice	Cefaclor	FS04	C	B46	C57	N	NA
CDC2PlateM4H04	CDC2	Mice	Cefaclor	FS04	C	B46	C57	N	NA
CDC2PlateM4H05	CDC2	Mice	Cefaclor	FS04	C	B46	C57	N	NA
CDC2PlateM4H06	CDC2	Mice	Cefaclor	FS04	C	B46	C57	N	NA
CDC2PlateM4H07	CDC2	Mice	Cefaclor	FS04	C	B46	C57	N	NA
CDC2PlateM6H05	CDC2	Mice	Cefaclor	FS04	C	H46	C3H	N	NA
CDC2PlateM6H06	CDC2	Mice	Cefaclor	FS04	C	H46	C3H	N	NA
CDC2PlateM6H07	CDC2	Mice	Cefaclor	FS04	C	H46	C3H	N	NA
CDC2PlateM6H08	CDC2	Mice	Cefaclor	FS04	C	H46	C3H	N	NA
CDC2PlateM6H09	CDC2	Mice	Cefaclor	FS04	C	H46	C3H	N	NA
CDC2PlateM6H10	CDC2	Mice	Cefaclor	FS04	C	H46	C3H	N	NA
CDC2Plate17M12H03	CDC2	Mice	Cefaclor	FS04	D	S46	SW	N	NA
CDC2Plate17M12H04	CDC2	Mice	Cefaclor	FS04	D	S46	SW	N	NA
CDC2Plate17M12H05	CDC2	Mice	Cefaclor	FS04	D	S46	SW	N	NA
CDC2PlateM5H09	CDC2	Mice	Cefaclor	FS04	D	B46	C57	N	NA
CDC2PlateM5H10	CDC2	Mice	Cefaclor	FS04	D	B46	C57	N	NA
CDC2PlateM6A01	CDC2	Mice	Cefaclor	FS04	D	B46	C57	N	NA
CDC2PlateM6A02	CDC2	Mice	Cefaclor	FS04	D	B46	C57	N	NA
CDC2PlateM6A03	CDC2	Mice	Cefaclor	FS04	D	B46	C57	N	NA
CDC2PlateM6A04	CDC2	Mice	Cefaclor	FS04	D	B46	C57	N	NA
CDC2PlateM7C01	CDC2	Mice	Cefaclor	FS04	D	H46	C3H	N	NA
CDC2PlateM7C02	CDC2	Mice	Cefaclor	FS04	D	H46	C3H	N	NA
CDC2PlateM7C03	CDC2	Mice	Cefaclor	FS04	D	H46	C3H	N	NA
CDC2PlateM7C04	CDC2	Mice	Cefaclor	FS04	D	H46	C3H	N	NA
CDC2PlateM7C05	CDC2	Mice	Cefaclor	FS04	D	H46	C3H	N	NA
CDC2PlateM8F03	CDC2	Mice	Cefaclor	FS04	D	S46	SW	N	NA
CDC2PlateM8G04	CDC2	Mice	Cefaclor	FS04	D	S46	SW	N	NA
CDC2Plate8G05	CDC2	Mice	Cefaclor	FS05	B	B39	C57	N	NA
CDC2Plate8G06	CDC2	Mice	Cefaclor	FS05	B	B39	C57	N	NA
CDC2Plate8G07	CDC2	Mice	Cefaclor	FS05	B	B39	C57	N	NA
CDC2PlateM1E04	CDC2	Mice	Cefaclor	FS05	B	S39	SW	N	NA
CDC2PlateM1E05	CDC2	Mice	Cefaclor	FS05	B	S39	SW	N	NA
CDC2PlateM1E06	CDC2	Mice	Cefaclor	FS05	B	S39	SW	N	NA
CDC2PlateM3B07	CDC2	Mice	Cefaclor	FS05	B	H39	C3H	N	NA
CDC2PlateM3B08	CDC2	Mice	Cefaclor	FS05	B	H39	C3H	N	NA
CDC2PlateM5B01	CDC2	Mice	Cefaclor	FS05	B	H39	C3H	N	NA
CDC2PlateM5B02	CDC2	Mice	Cefaclor	FS05	B	H39	C3H	N	NA
CDC2PlateM5B03	CDC2	Mice	Cefaclor	FS05	B	H39	C3H	N	NA
CDC2PlateM5B04	CDC2	Mice	Cefaclor	FS05	B	H39	C3H	N	NA
CDC2PlateM9C11	CDC2	Mice	Cefaclor	FS05	B	B39	C57	N	NA
CDC2PlateM9C12	CDC2	Mice	Cefaclor	FS05	B	B39	C57	N	NA
CDC2PlateM9D01	CDC2	Mice	Cefaclor	FS05	B	B39	C57	N	NA
CDC2PlateM1B07	CDC2	Mice	Cefaclor	FS05	B	S39	SW	N	NA
CDC2PlateM1B08	CDC2	Mice	Cefaclor	FS05	B	S39	SW	N	NA
CDC2PlateM1B09	CDC2	Mice	Cefaclor	FS05	B	S39	SW	N	NA
CDC2PlateM1B10	CDC2	Mice	Cefaclor	FS05	B	S39	SW	N	NA
CDC2PlateM1B11	CDC2	Mice	Cefaclor	FS05	B	S39	SW	N	NA
CDC2PlateM1B12	CDC2	Mice	Cefaclor	FS05	B	S39	SW	N	NA
CDC2PlateM2D09	CDC2	Mice	Cefaclor	FS05	B	H39	C3H	N	NA
CDC2PlateM2D10	CDC2	Mice	Cefaclor	FS05	B	H39	C3H	N	NA
CDC2PlateM2D11	CDC2	Mice	Cefaclor	FS05	B	H39	C3H	N	NA
CDC2PlateM2E02	CDC2	Mice	Cefaclor	FS05	B	H39	C3H	N	NA
CDC2PlateM8D02	CDC2	Mice	Cefaclor	FS05	B	B39	C57	N	NA
CDC2PlateM8D03	CDC2	Mice	Cefaclor	FS05	B	B39	C57	N	NA
CDC2PlateM9E12	CDC2	Mice	Cefaclor	FS05	B	B39	C57	N	NA
CDC2PlateM9F01	CDC2	Mice	Cefaclor	FS05	B	B39	C57	N	NA
CDC2PlateM9F02	CDC2	Mice	Cefaclor	FS05	B	B39	C57	N	NA
CDC2PlateM1F05	CDC2	Mice	Cefaclor	FS05	C	S39	SW	N	NA
